Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Poster-src,Duration (minutes)
Miles Ahead,6.4,2015,R,Biography,Don Cheadle,Steven BaigelmanDon CheadleStephen J. Rivele,64.0,"https://m.media-amazon.com/images/M/MV5BYTU5NDRjNmItZGZlMi00ZjJiLTk5YzAtZmY1ZDc4ZGZhMjFhXkEyXkFqcGdeQXVyNTM0OTY0NTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
The King of Kong: A Fistful of Quarters,8.0,2007,PG-13,Documentary,Seth Gordon,Steve WiebeBilly MitchellMark Alpiger,83.0,"https://m.media-amazon.com/images/M/MV5BMzIwMmIwNzEtODhhOS00ZjFjLWI1OGMtNjBiMDFkMTgzZTY2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg",79.0
The Devil's Violinist,6.0,2013,R,Biography,Bernard Rose,David GarrettJared HarrisJoely Richardson,38.0,"https://m.media-amazon.com/images/M/MV5BNTQ1MjUzMTY0Nl5BMl5BanBnXkFtZTgwNjAwNDM1MDE@._V1_QL75_UY281_CR5,0,190,281_.jpg",122.0
A Tale of Love and Darkness,6.0,2015,PG-13,Biography,Natalie Portman,Natalie PortmanGilad KahanaAmir Tessler,55.0,"https://m.media-amazon.com/images/M/MV5BMjIyNzk2MTY0Ml5BMl5BanBnXkFtZTgwMzExNTA2OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
Cobb,6.4,1994,R,Biography,Ron Shelton,Al StumpRon Shelton,66.0,"https://m.media-amazon.com/images/M/MV5BMzg5YzgwMjgtOWFiYy00YmEyLWJlY2EtZjg5YWQwOTlkMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",128.0
Godard Mon Amour,6.6,2017,R,Biography,Michel Hazanavicius,Louis GarrelStacy MartinBérénice Bejo,55.0,"https://m.media-amazon.com/images/M/MV5BYTNkNGQ0MDctNGNjMS00Y2NhLTk4MTItYjMyMDczZWVjMTJkXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",107.0
Muscle Shoals,7.8,2013,PG,Documentary,Greg 'Freddy' Camalier,Rick HallAretha FranklinKeith Richards,75.0,"https://m.media-amazon.com/images/M/MV5BMTUzMzU1MTA0N15BMl5BanBnXkFtZTgwMjY3MDgwMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",111.0
It's All Gone Pete Tong,7.2,2004,R,Biography,Michael Dowse,Paul KayeBeatriz BatardaKate Magowan,56.0,"https://m.media-amazon.com/images/M/MV5BMTY0OTY2MzMyN15BMl5BanBnXkFtZTcwNzE5NTgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0
Chuck,6.5,2016,R,Biography,Philippe Falardeau,Jeff FeuerzeigJerry StahlMichael Cristofer,68.0,"https://m.media-amazon.com/images/M/MV5BYzkxYmFlNjQtMGY2Ni00ZDZmLTk4NzktMTc2Mzg0OTY5MjUyXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",98.0
MacArthur,6.5,1977,PG,Biography,Joseph Sargent,Gregory PeckDan O'HerlihyEd Flanders,66.0,"https://m.media-amazon.com/images/M/MV5BNTRjMjYzNDEtMjNmNy00NzJiLWE0NDgtZDk1N2IzYjgzYTMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,4,190,281_.jpg",130.0
Married Life,6.2,2007,PG-13,Biography,Ira Sachs,Chris CooperPatricia ClarksonRachel McAdams,65.0,"https://m.media-amazon.com/images/M/MV5BOTUwOTYyMzkxNF5BMl5BanBnXkFtZTcwNjQ2NTg1MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",91.0
The Wild Child,7.5,1970,G,Biography,François Truffaut,François TruffautJean-Pierre CargolFrançoise Seigner,94.0,"https://m.media-amazon.com/images/M/MV5BYzgyNTdlMDYtYjQzYS00YWYxLTg2ODUtODQyNTk4ZGQ1MWM5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",83.0
Lonesome Soldier,6.2,2023,R,Biography,Nino Aldi,Alexander RandazzoLionel ChetwyndLinda Lee,66.0,"https://m.media-amazon.com/images/M/MV5BMzYxMTRkOGItZWMwNy00ZGFiLTg3NDgtMzIxNWQ2M2FiMGFkXkEyXkFqcGdeQXVyNDY4NjQwMTk@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0
Princess Kaiulani,6.1,2009,PG,Biography,Marc Forby,Q'orianka KilcherBarry PepperShaun Evans,41.0,"https://m.media-amazon.com/images/M/MV5BMTY2NDcwNjM2MF5BMl5BanBnXkFtZTcwNTE4ODE0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",130.0
Blaze,6.0,1989,R,Biography,Ron Shelton,Paul NewmanLolita DavidovichJerry Hardin,67.0,"https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg",120.0
My Father's Glory,7.6,1990,G,Adventure,Yves Robert,Louis NucéraMarcel PagnolYves Robert,66.0,"https://m.media-amazon.com/images/M/MV5BNzhmN2E0OGItODNjYy00NTlmLTliOWQtOWNjZDQ2MjViOTcwXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UY281_CR11,0,190,281_.jpg",105.0
13 Minutes,7.0,2015,R,Biography,Oliver Hirschbiegel,Christian FriedelKatharina SchüttlerBurghart Klaußner,58.0,"https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_QL75_UY281_CR3,0,190,281_.jpg",114.0
Salome's Last Dance,6.4,1988,R,Biography,Ken Russell,Glenda JacksonStratford JohnsNickolas Grace,66.0,"https://m.media-amazon.com/images/M/MV5BNzBkNmI5MzQtZDVjOS00YWQ2LTkyMTktYTU1OTE0ZmRhYWM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,9,190,281_.jpg",89.0
The Wonderful World of the Brothers Grimm,6.4,1962,G,Adventure,Henry Levin,David P. HarmonCharles BeaumontWilliam Roberts,66.0,"https://m.media-amazon.com/images/M/MV5BZTlhMmZlNmMtOWQ5NS00YzNhLWIxMDEtOTA5OGYxYzkwZjhlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg",135.0
A Quiet Passion,6.4,2016,PG-13,Biography,Terence Davies,Emma BellSara VertongenRose Williams,78.0,"https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",125.0
Burning Blue,6.2,2013,R,Biography,D.M.W. Greer,Trent FordTammy BlanchardMorgan Spector,29.0,"https://m.media-amazon.com/images/M/MV5BMTYyODQxNjQzOF5BMl5BanBnXkFtZTgwNzU2NzE2MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",96.0
Ludwig,7.5,1973,PG,Biography,Luchino Visconti,Helmut BergerRomy SchneiderTrevor Howard,66.0,"https://m.media-amazon.com/images/M/MV5BZDUwODg4YTgtOWI5NS00NDc0LWE2ZDEtYTRkOTljYzJiY2Y3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,4,190,281_.jpg",238.0
The Man Who Invented Christmas,7.0,2017,PG,Biography,Bharat Nalluri,Dan StevensMark SchrierPatrick Joseph Byrnes,60.0,"https://m.media-amazon.com/images/M/MV5BZDRjZWZlNjAtYjM1ZS00ZjAyLWE4MmEtNWVmNzZiNTYzOThjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",104.0
Music Within,7.2,2007,R,Biography,Steven Sawalich,Ron LivingstonMelissa GeorgeMichael Sheen,53.0,"https://m.media-amazon.com/images/M/MV5BMTgwMDgwNzU5Nl5BMl5BanBnXkFtZTcwOTUwMDU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",94.0
McQueen,7.7,2018,R,Documentary,Ian Bonhôte,Alexander McQueenJoyce McQueenJohn Hitchcock,84.0,"https://m.media-amazon.com/images/M/MV5BMTg0MTg3MTM0OF5BMl5BanBnXkFtZTgwOTU0OTU2NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",111.0
Danton,7.4,1983,PG,Biography,Andrzej Wajda,Jean-Claude CarrièreStanislawa PrzybyszewskaAndrzej Wajda,66.0,"https://m.media-amazon.com/images/M/MV5BNWI1OTM5YWItOWZkMy00YTI0LTlhMmEtZDQ5NGM2Mzc3NGYyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,4,190,281_.jpg",136.0
Nightwatching,6.5,2007,R,Biography,Peter Greenaway,Martin FreemanEmily HolmesEva Birthistle,66.0,"https://m.media-amazon.com/images/M/MV5BZTE4YzAyN2QtZDBkNC00YjUwLTk5ZjktMGEwZDMxZDI0MTg4XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",134.0
Desert Flower,7.3,2009,R,Biography,Sherry Hormann,Waris DirieSherry HormannCathleen Miller,54.0,"https://m.media-amazon.com/images/M/MV5BMTcwODMwMzA0MV5BMl5BanBnXkFtZTcwMTc3ODc1NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",120.0
Inside Deep Throat,6.7,2005,NC-17,Documentary,Fenton Bailey,Linda LovelaceHarry ReemsDennis Hopper,64.0,"https://m.media-amazon.com/images/M/MV5BZjUyNzQ5MzAtN2Y5ZS00NTk5LWI4ZDktNGMyNTA5MjhkNjAzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY281_CR0,0,190,281_.jpg",89.0
The Lady,7.0,2011,R,Biography,Luc Besson,Michelle YeohDavid ThewlisJonathan Raggett,43.0,"https://m.media-amazon.com/images/M/MV5BMTg3NTc3NzMzOF5BMl5BanBnXkFtZTcwMzI4NjkyNw@@._V1_QL75_UY281_CR11,0,190,281_.jpg",132.0
Impromptu,6.8,1991,PG-13,Biography,James Lapine,Judy DavisHugh GrantMandy Patinkin,66.0,"https://m.media-amazon.com/images/M/MV5BZmM0ZTAyNmUtZjgxNi00NTEwLWE1MjEtMDBjYzY3MTUyNDdmXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_QL75_UY281_CR0,0,190,281_.jpg",107.0
Percy Vs Goliath,6.4,2020,PG-13,Biography,Clark Johnson,Garfield Lindsay MillerHilary PryorMaureen Dorey,56.0,"https://m.media-amazon.com/images/M/MV5BYTA4MDMwYzItMTNkYS00NjhhLTkwODUtNTE1ZDc0ZTUzMzdiXkEyXkFqcGdeQXVyNDAyMTY3OTM@._V1_QL75_UY281_CR3,0,190,281_.jpg",99.0
Casino Jack,6.2,2010,R,Biography,George Hickenlooper,Kevin SpaceyBarry PepperJon Lovitz,51.0,"https://m.media-amazon.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",108.0
Born to Be Blue,6.8,2015,R,Biography,Robert Budreau,Ethan HawkeCarmen EjogoCallum Keith Rennie,64.0,"https://m.media-amazon.com/images/M/MV5BMjI3NTk0OTM5OF5BMl5BanBnXkFtZTgwOTMxMTE5NzE@._V1_QL75_UY281_CR3,0,190,281_.jpg",97.0
Tom Horn,6.8,1980,R,Biography,William Wiard,Steve McQueenLinda EvansRichard Farnsworth,66.0,"https://m.media-amazon.com/images/M/MV5BMTk5NzkwNDUwOV5BMl5BanBnXkFtZTgwMjM2NjQzMTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",98.0
"Mary, Queen of Scots",7.1,1971,PG-13,Biography,Charles Jarrott,Vanessa RedgraveGlenda JacksonPatrick McGoohan,53.0,"https://m.media-amazon.com/images/M/MV5BMDMzZDVkYmUtN2MyMC00OWExLThhZTktNGRjZGU0ZmJhYTUxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg",128.0
Freeheld,6.6,2015,PG-13,Biography,Peter Sollett,Julianne MooreElliot PageSteve Carell,50.0,"https://m.media-amazon.com/images/M/MV5BMzM5NTg3NjU1MV5BMl5BanBnXkFtZTgwNzAwMjA3NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",103.0
Same Kind of Different as Me,6.6,2017,PG-13,Biography,Michael Carney,Ron HallDenver MooreLynn Vincent,47.0,"https://m.media-amazon.com/images/M/MV5BY2JhZjU1YWQtM2RmYi00ZjY3LWFhYzktNTk0ZGZkNjBkYzI2XkEyXkFqcGdeQXVyNjAwOTYzMjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",119.0
One Chance,6.8,2013,PG-13,Biography,David Frankel,James CordenAlexandra RoachJulie Walters,52.0,"https://m.media-amazon.com/images/M/MV5BMTA5MzQxMzEzOTVeQTJeQWpwZ15BbWU4MDY2NzM5NzIx._V1_QL75_UX190_CR0,0,190,281_.jpg",103.0
20 Feet from Stardom,7.4,2013,PG-13,Documentary,Morgan Neville,Darlene LoveMerry ClaytonLisa Fischer,83.0,"https://m.media-amazon.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",91.0
Yves Saint Laurent,6.2,2014,R,Biography,Jalil Lespert,Marie-Pierre HusterJalil LespertJacques Fieschi,51.0,"https://m.media-amazon.com/images/M/MV5BMjE3NDE1NDAyOF5BMl5BanBnXkFtZTgwMDg0NDQ0MTE@._V1_QL75_UX190_CR0,2,190,281_.jpg",106.0
The White Crow,6.6,2018,R,Biography,Ralph Fiennes,Oleg IvenkoRalph FiennesLouis Hofmann,61.0,"https://m.media-amazon.com/images/M/MV5BNGIwMjFmMGQtZjYxNC00NmJjLTlkM2QtMWMyZTA3YjZhNzBlXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",127.0
Bound for Glory,7.2,1976,PG,Biography,Hal Ashby,David CarradineRonny CoxMelinda Dillon,70.0,"https://m.media-amazon.com/images/M/MV5BOWRlMmU0OGUtZjhjMS00YWQ2LWEzNzYtMWYxOWMwNjhkMGVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg",147.0
Lucie Aubrac,6.6,1997,R,Biography,Claude Berri,Carole BouquetDaniel AuteuilPatrice Chéreau,61.0,"https://m.media-amazon.com/images/M/MV5BMTgwNGYzMWYtOGY0OC00MWYwLWE1NWQtY2I3NmE5ZDRjNjkxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",115.0
Woodlawn,6.4,2015,PG,Biography,Andrew Erwin,Jon ErwinTodd GereldsQuinton Peeples,57.0,"https://m.media-amazon.com/images/M/MV5BMTA0ODM5MTM5MTleQTJeQWpwZ15BbWU4MDAwNzk1NDYx._V1_QL75_UY281_CR7,0,190,281_.jpg",123.0
Patty Hearst,6.3,1988,R,Biography,Paul Schrader,Natasha RichardsonWilliam ForsytheVing Rhames,62.0,"https://m.media-amazon.com/images/M/MV5BMWZlMjE0MjItYTViYS00ZTkxLWI3NTUtYjg0ZjAxMGQ0ZTdmXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UX190_CR0,3,190,281_.jpg",108.0
The Look of Silence,8.3,2014,PG-13,Documentary,Joshua Oppenheimer,Adi RukunM.Y. BasrunVolker Hanisch,92.0,"https://m.media-amazon.com/images/M/MV5BOTMwMjI4MjQ3MF5BMl5BanBnXkFtZTgwMjkwOTM2NTE@._V1_QL75_UY281_CR1,0,190,281_.jpg",103.0
Mesrine: Public Enemy No. 1,7.4,2008,R,Action,Jean-François Richet,Abdel Raouf DafriJean-François Richet,72.0,"https://m.media-amazon.com/images/M/MV5BNWEyOGU4YWUtYjRkNS00OWZkLThlMjAtY2RiNzBhNmE2NGJmXkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_QL75_UY281_CR8,0,190,281_.jpg",133.0
Walker,6.6,1987,R,Biography,Alex Cox,Ed HarrisRichard MasurRene Auberjonois,66.0,"https://m.media-amazon.com/images/M/MV5BN2U4MDYzZjctMzJlMC00MDQzLWJlZDYtMzRkNGYxZDI0MzY0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UX190_CR0,1,190,281_.jpg",94.0
The Sparks Brothers,7.7,2021,R,Documentary,Edgar Wright,Ron MaelRussell MaelBeck,80.0,"https://m.media-amazon.com/images/M/MV5BNTA0YTE5M2MtZTc0Ny00ODViLWI2ZjItOTU3YzJmNzdhYjI3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",140.0
Lady Sings the Blues,7.0,1972,R,Biography,Sidney J. Furie,Chris ClarkSuzanne De PasseWilliam Dufty,66.0,"https://m.media-amazon.com/images/M/MV5BN2I4NjY5OGYtNjMyNS00Nzg4LTg3ZjEtZTc1YjMyNjhkOTRmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR3,0,190,281_.jpg",144.0
Val,7.6,2021,R,Documentary,Ting Poo,Val KilmerJack KilmerMercedes Kilmer,73.0,"https://m.media-amazon.com/images/M/MV5BNWUzMDA5MzMtYzU5Yy00M2U3LTg5YWUtYTk1NmY0ZDJhOGU3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0
Marley,7.9,2012,PG-13,Documentary,Kevin Macdonald,Bob MarleyZiggy MarleyRita Marley,82.0,"https://m.media-amazon.com/images/M/MV5BMTg3NDUzMzQ2OF5BMl5BanBnXkFtZTcwNzY4NTE0Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",144.0
Prick Up Your Ears,7.1,1987,R,Biography,Stephen Frears,Gary OldmanAlfred MolinaVanessa Redgrave,72.0,"https://m.media-amazon.com/images/M/MV5BYzg4YWQzZTEtMDIyMC00NmZjLWFhZTctYzkwZjJlMjVlYzAzXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",105.0
Lisztomania,6.1,1975,R,Biography,Ken Russell,Roger DaltreySara KestelmanPaul Nicholas,66.0,"https://m.media-amazon.com/images/M/MV5BNGYxOWVhZTktYjZmMi00ZDk5LTljMzQtMDI5MDNlZjE0NjE2XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg",103.0
Why Do Fools Fall in Love,6.4,1998,R,Biography,Gregory Nava,Halle BerryVivica A. FoxLela Rochon,66.0,"https://m.media-amazon.com/images/M/MV5BOGNhYjczZjUtY2QzNC00NTNjLWExN2MtNzI3ODIzNzAyZWI0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,1,190,281_.jpg",116.0
The Glorias,6.0,2020,R,Biography,Julie Taymor,Julianne MooreAlicia VikanderJanelle Monáe,58.0,"https://m.media-amazon.com/images/M/MV5BZmE1ZDI3MTgtODNmZi00OTQyLTkyYjMtNzI3OTRhOWEwY2NjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",147.0
The Story of Adele H,7.2,1975,PG,Biography,François Truffaut,François TruffautJean GruaultSuzanne Schiffman,66.0,"https://m.media-amazon.com/images/M/MV5BYWFiNzk3NzMtOGExYS00ZTk4LWE2YzUtNDFlMGFjMTY3YTkzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,4,190,281_.jpg",96.0
Prefontaine,6.8,1997,PG-13,Biography,Steve James,Jared LetoR. Lee ErmeyEd O'Neill,55.0,"https://m.media-amazon.com/images/M/MV5BMTk2MzE0NjQ0Nl5BMl5BanBnXkFtZTcwMzUxMjkxMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",106.0
Backbeat,6.6,1994,R,Biography,Iain Softley,Stephen DorffSheryl LeeIan Hart,66.0,"https://m.media-amazon.com/images/M/MV5BZjg3MmI5ZTEtNTcwMi00NzNiLTg4NTAtZWFlOTQ1OWRmM2MyXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_QL75_UY281_CR0,0,190,281_.jpg",100.0
The Gospel of John,7.8,2003,PG-13,Biography,Philip Saville,Henry Ian CusickDaniel KashChristopher Plummer,52.0,"https://m.media-amazon.com/images/M/MV5BMTk1ODY3NzYxN15BMl5BanBnXkFtZTcwNDIwNjAwMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",180.0
The Grizzlies,7.5,2018,R,Biography,Miranda de Pencier,Jack AnawakFred BaileySeth Burke,69.0,"https://m.media-amazon.com/images/M/MV5BODY4Y2NkOTYtOTk4Ni00NWU3LTk2ODEtNmY1NzlkMjIzZjg1XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_QL75_UY281_CR3,0,190,281_.jpg",102.0
The Hiding Place,7.4,1975,PG,Biography,James F. Collier,Corrie Ten BoomJohn SherrillElizabeth Sherrill,66.0,"https://m.media-amazon.com/images/M/MV5BMTJmZjk4ZDUtMTYwMS00NmQwLTk1N2MtYjlmNzk4ZjZlOGExXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_QL75_UX190_CR0,2,190,281_.jpg",150.0
In Her Skin,6.4,2009,R,Biography,Simone North,Guy PearceMiranda OttoRuth Bradley,66.0,"https://m.media-amazon.com/images/M/MV5BMTM3NzIwMDQ3Ml5BMl5BanBnXkFtZTcwNTgyMzA2Nw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",107.0
Modigliani,7.2,2004,R,Biography,Mick Davis,Andy GarciaElsa ZylbersteinOmid Djalili,25.0,"https://m.media-amazon.com/images/M/MV5BMTA1MDY5MjU1MjJeQTJeQWpwZ15BbWU2MDEyMTg3Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg",128.0
The Hunter,6.2,1980,PG,Action,Buzz Kulik,Ted LeightonPeter HyamsChristopher Keane,31.0,"https://m.media-amazon.com/images/M/MV5BYTIwY2RjZTItNDRiNC00MWZhLTgwMGQtNzQzZTcyZDU5NGEyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg",97.0
Hilary and Jackie,7.3,1998,R,Biography,Anand Tucker,Emily WatsonRachel GriffithsJames Frain,78.0,"https://m.media-amazon.com/images/M/MV5BZjkyNjVmZmYtZmY4YS00MmZmLTllYmYtMzc0OThkNTUxZWZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",121.0
Kilo Two Bravo,7.1,2014,R,Adventure,Paul Katis,Tom Williams,66.0,"https://m.media-amazon.com/images/M/MV5BMTQ5MjQ2MjU5NV5BMl5BanBnXkFtZTgwMzI2Mzg5NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",108.0
I Shot Andy Warhol,6.6,1996,R,Biography,Mary Harron,Jeremiah NewtonDiane TuckerMary Harron,75.0,"https://m.media-amazon.com/images/M/MV5BNWJkZTI3ZGUtOWQ3Ni00Y2Y5LTgxYWEtODQ4Yjg4M2ZmMWQ3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,3,190,281_.jpg",103.0
Sylvia,6.3,2003,R,Biography,Christine Jeffs,Gwyneth PaltrowDaniel CraigLucy Davenport,56.0,"https://m.media-amazon.com/images/M/MV5BODY2ZDNiODktYWU2Yy00OTdmLWI3YmUtMTllODY4NTlhMzNkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR4,0,190,281_.jpg",100.0
